ID;Name;URL;Suggested URL;Link position;Has equal domain
000000052;Instituto Nacional de Estadistica;;http://www.ine.gov.ve/;9.0;0.0
000000055;Italian National Institute of Statistics;https://www.istat.it;https://www.istat.it/en/;0.0;1.0
000000055;Italian National Institute of Statistics;https://www.istat.it;https://en.wikipedia.org/wiki/Italian_National_Institute_of_Statistics;1.0;0.0
000000055;Italian National Institute of Statistics;https://www.istat.it;https://twitter.com/istat_en;2.0;0.0
000000055;Italian National Institute of Statistics;https://www.istat.it;https://db.nomics.world/ISTAT;3.0;0.0
000000055;Italian National Institute of Statistics;https://www.istat.it;https://www.wikiwand.com/en/Italian_National_Institute_of_Statistics;4.0;0.0
000000055;Italian National Institute of Statistics;https://www.istat.it;https://www.inps.it/;5.0;0.0
000000055;Italian National Institute of Statistics;https://www.istat.it;https://mapcarta.com/N6241969395;6.0;0.0
000000055;Italian National Institute of Statistics;https://www.istat.it;https://finance.yahoo.com/news/italian-national-institute-statistics-maintains-123000097.html;7.0;0.0
000000055;Italian National Institute of Statistics;https://www.istat.it;http://ghdx.healthdata.org/organizations/italian-national-institute-statistics;8.0;0.0
000000055;Italian National Institute of Statistics;https://www.istat.it;https://marketplace.officialstatistics.org/partner/italian_national_institute_of_statistics;9.0;0.0
000000058;Istat – Istituto nazionale di statistica;;https://www.istat.it/en/;0.0;0.0
000000058;Istat – Istituto nazionale di statistica;;https://www.istat.it/;1.0;0.0
000000058;Istat – Istituto nazionale di statistica;;https://www.istat.it/it/;2.0;0.0
000000058;Istat – Istituto nazionale di statistica;;https://en.wikipedia.org/wiki/Italian_National_Institute_of_Statistics;3.0;0.0
000000058;Istat – Istituto nazionale di statistica;;https://twitter.com/istat_it;4.0;0.0
000000058;Istat – Istituto nazionale di statistica;;https://www.facebook.com/Istituto-Nazionale-di-Statistica-ISTAT-961087287324073/;5.0;0.0
000000058;Istat – Istituto nazionale di statistica;;https://www.istat.org/;6.0;0.0
000000058;Istat – Istituto nazionale di statistica;;https://en.academic.ru/dic.nsf/enwiki/229943;7.0;0.0
000000058;Istat – Istituto nazionale di statistica;;https://www.pinterest.ru/istat_infograf/;8.0;0.0
000000058;Istat – Istituto nazionale di statistica;;https://www.youtube.com/channel/UCBscGDkpC3rM3KY3M9PK4PQ;9.0;0.0
000000062;Statistical Service;;https://statsghana.gov.gh/;0.0;0.0
000000062;Statistical Service;;https://en.wikipedia.org/wiki/List_of_national_and_international_statistical_services;1.0;0.0
000000062;Statistical Service;;https://ghstudents.com/ghana-statistical-service-recruitment/;2.0;0.0
000000062;Statistical Service;;https://ghstats.com/;3.0;0.0
000000062;Statistical Service;;https://www.facebook.com/statsghana/;4.0;0.0
000000062;Statistical Service;;https://eng.gks.ru/;5.0;0.0
000000062;Statistical Service;;https://www.mof.gov.cy/mof/cystat/statistics.nsf/index_en/index_en;6.0;0.0
000000062;Statistical Service;;https://www.youtube.com/channel/UCUaIIM-7yRwXHBYt1IFJIqw;7.0;0.0
000000062;Statistical Service;;https://translate.academic.ru/statistical%20service/en/ru/;8.0;0.0
000000062;Statistical Service;;https://ec.europa.eu/eurostat/web/links;9.0;0.0
000000065;Agency of Statistics;https://ask.rks-gov.net;https://en.wikipedia.org/wiki/List_of_national_and_international_statistical_services;0.0;0.0
000000065;Agency of Statistics;https://ask.rks-gov.net;https://ec.europa.eu/eurostat/web/links;1.0;0.0
000000065;Agency of Statistics;https://ask.rks-gov.net;https://eng.gks.ru/;2.0;0.0
000000065;Agency of Statistics;https://ask.rks-gov.net;https://www.isi-web.org/index.php/resources/national-statistical-offices;3.0;0.0
000000065;Agency of Statistics;https://ask.rks-gov.net;https://unstats.un.org/home/international_agencies/;4.0;0.0
000000065;Agency of Statistics;https://ask.rks-gov.net;https://www.ons.gov.uk/;5.0;0.0
000000065;Agency of Statistics;https://ask.rks-gov.net;https://nsa.org.na/;6.0;0.0
000000065;Agency of Statistics;https://ask.rks-gov.net;https://www.census.gov/programs-surveys/international-programs/about/related-sites.html;7.0;0.0
000000065;Agency of Statistics;https://ask.rks-gov.net;https://world-statistics.org/index-pop.php;8.0;0.0
000000065;Agency of Statistics;https://ask.rks-gov.net;https://www.ilo.org/stat/lang--en/index.htm;9.0;0.0
000000068;Central Statistical Bureau;https://www.csb.gov.lv;https://www.csb.gov.lv/en/statistics;0.0;1.0
000000068;Central Statistical Bureau;https://www.csb.gov.lv;https://www.csb.gov.lv/en/sakums;1.0;1.0
000000068;Central Statistical Bureau;https://www.csb.gov.lv;https://www.csb.gov.kw/Default_EN;2.0;0.0
000000068;Central Statistical Bureau;https://www.csb.gov.lv;https://www.gov.il/en/departments/central_bureau_of_statistics;3.0;0.0
000000068;Central Statistical Bureau;https://www.csb.gov.lv;https://en.wikipedia.org/wiki/Central_Bureau_of_Statistics;4.0;0.0
000000068;Central Statistical Bureau;https://www.csb.gov.lv;https://ec.europa.eu/eurostat/web/links;5.0;0.0
000000068;Central Statistical Bureau;https://www.csb.gov.lv;https://www.cbs.cw/;6.0;0.0
000000068;Central Statistical Bureau;https://www.csb.gov.lv;http://old.gks.ru/wps/wcm/connect/rosstat_main/rosstat/ru/about/icooperation/national_statistics_organizations/;7.0;0.0
000000068;Central Statistical Bureau;https://www.csb.gov.lv;https://www.facebook.com/centralstatistical.bureau;8.0;0.0
000000068;Central Statistical Bureau;https://www.csb.gov.lv;https://world-statistics.org/index-pop.php;9.0;0.0
000000071;Central Statistical Bureau of Latvia;https://www.csb.gov.lv;https://www.csb.gov.lv/en/sakums;0.0;1.0
000000071;Central Statistical Bureau of Latvia;https://www.csb.gov.lv;https://www.csb.gov.lv/en/statistics;1.0;1.0
000000071;Central Statistical Bureau of Latvia;https://www.csb.gov.lv;https://www.csb.gov.lv/;2.0;1.0
000000071;Central Statistical Bureau of Latvia;https://www.csb.gov.lv;https://www.csb.gov.lv/en/about-us;3.0;1.0
000000071;Central Statistical Bureau of Latvia;https://www.csb.gov.lv;https://www.csb.gov.lv/en/about-us/overview;4.0;1.0
000000071;Central Statistical Bureau of Latvia;https://www.csb.gov.lv;https://ec.europa.eu/eurostat/cros/content/central-statistical-bureau-latvia-latvia_en;5.0;0.0
000000071;Central Statistical Bureau of Latvia;https://www.csb.gov.lv;https://twitter.com/csb_latvia;6.0;0.0
000000071;Central Statistical Bureau of Latvia;https://www.csb.gov.lv;https://spkc.gov.lv/;7.0;0.0
000000071;Central Statistical Bureau of Latvia;https://www.csb.gov.lv;https://www.apollo.io/companies/Central-Statistical-Bureau-of-Latvia/54a1361f69702d3e8355e400;8.0;0.0
000000071;Central Statistical Bureau of Latvia;https://www.csb.gov.lv;http://ghdx.healthdata.org/organizations/central-statistical-bureau-latvia;9.0;0.0
000000074;Statistics Lithuania;https://www.stat.gov.lt;https://www.stat.gov.lt/;0.0;1.0
000000074;Statistics Lithuania;https://www.stat.gov.lt;https://en.wikipedia.org/wiki/Department_of_Statistics_(Lithuania);1.0;0.0
000000074;Statistics Lithuania;https://www.stat.gov.lt;https://ec.europa.eu/eurostat/documents/64157/4372828/LT-description.pdf/9ffa5a80-a2c1-4267-a763-06eaa0e504ca;2.0;0.0
000000074;Statistics Lithuania;https://www.stat.gov.lt;http://www.lrs.lt/;3.0;0.0
000000074;Statistics Lithuania;https://www.stat.gov.lt;https://www.worldometers.info/world-population/lithuania-population/;4.0;0.0
000000074;Statistics Lithuania;https://www.stat.gov.lt;https://wiki2.org/en/Department_of_Statistics_(Lithuania);5.0;0.0
000000074;Statistics Lithuania;https://www.stat.gov.lt;https://www.statista.com/topics/4354/lithuania/;6.0;0.0
000000074;Statistics Lithuania;https://www.stat.gov.lt;https://data.oecd.org/lithuania.htm;7.0;0.0
000000074;Statistics Lithuania;https://www.stat.gov.lt;https://countrymeters.info/en/Lithuania;8.0;0.0
000000074;Statistics Lithuania;https://www.stat.gov.lt;https://www.cia.gov/library/publications/the-world-factbook/geos/lh.html;9.0;0.0
000000078;Office of Statistics;;https://www.ons.gov.uk/;0.0;0.0
000000078;Office of Statistics;;https://en.wikipedia.org/wiki/Office_for_National_Statistics;1.0;0.0
000000078;Office of Statistics;;https://twitter.com/ons;2.0;0.0
000000078;Office of Statistics;;https://www.gov.uk/government/organisations/office-for-national-statistics;3.0;0.0
000000078;Office of Statistics;;https://en.wikipedia.org/wiki/National_Office_of_Statistics;4.0;0.0
000000078;Office of Statistics;;https://www.facebook.com/ONS;5.0;0.0
000000078;Office of Statistics;;https://ec.europa.eu/eurostat/web/links;6.0;0.0
000000078;Office of Statistics;;http://old.gks.ru/wps/wcm/connect/rosstat_main/rosstat/ru/about/icooperation/national_statistics_organizations/;7.0;0.0
000000078;Office of Statistics;;https://www.isi-web.org/index.php/resources/national-statistical-offices;8.0;0.0
000000078;Office of Statistics;;https://wiki2.org/en/National_Office_of_Statistics;9.0;0.0
000000081;National Institute of Statistics and Economic Studies;;https://www.insee.fr/en/accueil;0.0;0.0
